406	402
409	414
388	430
397	450
417	466
445	474
445	460
464	460
486	469
512	506
507	534
507	584
502	614
496	625
500	637
498	716
516	721
526	716
526	696
532	687
531	670
524	638
526	624
524	607
541	532
564	636
557	663
541	713
542	736
536	761
549	769
570	771
578	725
584	672
590	661
580	649
578	546
562	447
571	447
573	436
584	437
586	424
597	418
598	408
606	394
601	376
605	367
605	354
605	337
620	344
643	365
645	356
639	348
643	342
660	359
663	351
673	356
661	344
673	341
652	335
646	327
618	324
553	293
537	270
571	283
562	264
588	280
586	262
621	278
605	264
644	273
658	269
628	255
685	264
660	244
696	275
723	368
734	476
731	544
756	495
768	408
736	262
768	305
790	368
808	422
811	376
798	310
768	242
806	291
800	247
757	190
627	58
601	42
581	67
596	131
579	198
532	226
511	228
510	218
489	213
486	198
501	209
503	192
527	212
542	207
528	193
530	174
547	178
562	171
548	159
533	125
547	135
544	122
531	103
503	88
488	72
470	79
423	102
408	138
417	159
422	167
433	186
429	203
410	208
403	224
375	217
347	197
330	167
323	110
327	61
336	26
304	11
270	34
190	75
128	114
37	232
63	197
43	247
37	280
38	300
59	275
83	242
69	279
57	316
53	388
107	286
98	335
91	389
103	452
109	483
119	417
123	372
147	293
138	354
130	420
139	474
163	524
175	470
181	413
188	345
211	242
218	218
248	212
229	227
242	230
266	227
253	243
279	240
286	247
308	242
302	261
318	256
335	249
328	264
343	262
360	255
357	271
377	257
376	273
393	265
387	285
361	328
335	364
312	374
310	368
300	377
291	382
285	392
279	406
244	396
223	393
233	406
220	417
207	429
227	431
245	425
242	446
250	437
252	459
264	474
272	464
289	457
293	467
301	452
331	470
322	453
334	456
345	452
322	443
311	422
298	409
314	405
329	387
381	346
397	310
415	275
421	289
428	279
434	299
434	326
443	335
434	340
428	377
417	396
